Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region
2024-01-01,AD004,Hackathon,YouTube,17–21 Age,285708,16956,4087,2547,1148,"₹ 275,458","₹ 4,615,838",West India
2024-01-02,AD004,Hackathon,YouTube,17–21 Age,140449,10082,1815,951,565,"₹ 133,026","₹ 3,513,170",North India
2024-01-03,AD004,Hackathon,YouTube,17–21 Age,140958,7474,1169,683,343,"₹ 135,766","₹ 1,051,925",North India
2024-01-04,AD004,Hackathon,YouTube,22–27 Age,257823,16841,3179,1584,698,"₹ 229,715","₹ 3,850,640",West India
2024-01-05,AD004,Hackathon,YouTube,25–35 Age,98595,7293,1340,854,368,"₹ 52,361","₹ 1,543,263",West India
2024-01-06,AD004,Hackathon,YouTube,22–27 Age,68114,5377,909,505,222,"₹ 27,454","₹ 1,717,164",North India
2024-01-07,AD004,Hackathon,YouTube,17–21 Age,175572,6855,1452,757,346,"₹ 95,498","₹ 2,598,808",East India
2024-01-08,AD004,Hackathon,YouTube,22–27 Age,231966,9373,1934,1247,553,"₹ 175,649","₹ 2,558,956",West India
2024-01-09,AD004,Hackathon,YouTube,17–21 Age,281339,12310,2329,1319,734,"₹ 126,724","₹ 4,265,725",West India
2024-01-10,AD004,Hackathon,YouTube,22–27 Age,98805,6952,1479,955,455,"₹ 49,446","₹ 3,012,430",North India
2024-01-11,AD004,Hackathon,YouTube,25–35 Age,144093,11451,1776,934,480,"₹ 104,177","₹ 1,723,114",North India
2024-01-12,AD004,Hackathon,YouTube,25–35 Age,158894,6588,1470,867,405,"₹ 102,314","₹ 3,080,880",Pan India
2024-01-13,AD004,Hackathon,YouTube,25–35 Age,66250,4921,871,392,210,"₹ 51,284","₹ 1,495,426",North India
2024-01-14,AD004,Hackathon,YouTube,25–35 Age,146445,6570,1466,803,436,"₹ 60,478","₹ 2,107,164",West India
2024-01-15,AD004,Hackathon,YouTube,22–27 Age,95097,7359,1754,1030,512,"₹ 47,008","₹ 2,174,798",South India
2024-01-16,AD004,Hackathon,YouTube,17–21 Age,234993,13461,2316,1322,778,"₹ 118,804","₹ 3,598,638",South India
2024-01-17,AD004,Hackathon,YouTube,25–35 Age,72601,4823,859,471,224,"₹ 65,232","₹ 1,540,858",West India
2024-01-18,AD004,Hackathon,YouTube,17–21 Age,64854,3268,774,379,187,"₹ 29,838","₹ 1,134,935",South India
2024-01-19,AD004,Hackathon,YouTube,25–35 Age,140767,7435,1316,748,419,"₹ 134,778","₹ 2,166,219",Pan India
2024-01-20,AD004,Hackathon,YouTube,22–27 Age,102564,4036,954,619,352,"₹ 51,435","₹ 2,739,138",West India
2024-01-21,AD004,Hackathon,YouTube,25–35 Age,99366,6149,1025,585,331,"₹ 39,929","₹ 2,041,494",East India
2024-01-22,AD004,Hackathon,YouTube,17–21 Age,130732,9877,1815,1127,550,"₹ 65,158","₹ 2,707,317",Pan India
2024-01-23,AD004,Hackathon,YouTube,22–27 Age,60282,3890,823,440,184,"₹ 50,618","₹ 1,332,251",East India
2024-01-24,AD004,Hackathon,YouTube,22–27 Age,227987,9955,2151,1233,739,"₹ 116,682","₹ 4,318,919",North India
2024-01-25,AD004,Hackathon,YouTube,22–27 Age,272168,16989,3561,1864,959,"₹ 166,206","₹ 4,449,883",West India
2024-01-26,AD004,Hackathon,YouTube,17–21 Age,264817,10684,1820,1080,558,"₹ 178,964","₹ 2,959,112",North India
2024-01-27,AD004,Hackathon,YouTube,22–27 Age,296970,16468,3817,2120,1220,"₹ 288,391","₹ 6,571,499",Pan India
2024-01-28,AD004,Hackathon,YouTube,25–35 Age,280154,13508,2070,1200,490,"₹ 258,351","₹ 2,606,825",West India
2024-01-29,AD004,Hackathon,YouTube,17–21 Age,246082,9319,1989,960,442,"₹ 195,337","₹ 2,170,311",East India
2024-01-30,AD004,Hackathon,YouTube,25–35 Age,162479,9378,2210,1154,604,"₹ 157,518","₹ 4,429,720",Pan India
2024-01-31,AD004,Hackathon,YouTube,22–27 Age,256182,17232,3397,1850,871,"₹ 212,839","₹ 3,579,678",South India
2024-02-01,AD004,Hackathon,YouTube,22–27 Age,269710,19961,3100,1479,780,"₹ 108,988","₹ 2,698,692",South India
2024-02-02,AD004,Hackathon,YouTube,17–21 Age,85354,4637,948,471,279,"₹ 39,467","₹ 1,069,478",Pan India
2024-02-03,AD004,Hackathon,YouTube,17–21 Age,96853,3046,699,327,162,"₹ 53,821","₹ 868,490",North India
