hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100,100,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.87,100.87,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.32,100.89,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.73,100.96,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.32,101.31,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.8,101.47,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.02,101.86,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.01,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.83,101.97,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.08,102.26,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.98,103.29,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.34,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.86,103.87,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.38,104.37,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.09,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.93,105.13,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.5,105.45,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.94,105.54,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.11,105.9,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.53,106.34,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.53,106.62,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.16,107.27,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.41,107.71,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.73,108.33,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.39,108.44,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
