Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
79.03,IN_STORE,3.17,3189,NA,75.86,37:36.8,75.86,NA,SOUTHWARK,SuperStore,Koko Dairy Free Unsweetened Alternative Longlife D...,5,IN_STORE,1.5
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco Finest Cheesecake Passion Fruit & Raspberry ...,1,IN_STORE,4
,,,,,,,,,,,Tesco Mixed Sized Organic Eggs 6 Pack,1,IN_STORE,1.8
,,,,,,,,,,,Vanish Pet Expert Carpet Care Foam 600Ml,1,IN_STORE,6
,,,,,,,,,,,Tesco Capers 190G,1,IN_STORE,1.8
,,,,,,,,,,,Tesco Watermelon Each,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1,IN_STORE,0.59
,,,,,,,,,,,Gressingham Duck Fillets 250G,2,IN_STORE,4.25
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.12
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,4,IN_STORE,3
,,,,,,,,,,,Tesco Apothecary Large Scented Candle - Neroli and...,1,IN_STORE,8
,,,,,,,,,,,Finest Echalion Shallots 400G,1,IN_STORE,0.9
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Tesco Carrots 1Kg,1,IN_STORE,0.4
,,,,,,,,,,,Tesco Twin Garlic Baguette 410G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Finest Green Grapes Seedless 400G,1,IN_STORE,1.5
,,,,,,,,,,,Kikkoman Soy Sauce 150Ml,1,IN_STORE,2
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Tesco Pork Ribs 700G,1,IN_STORE,4.2
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1,IN_STORE,5
,,,,,,,,,,,Tesco White Cabbage,1,IN_STORE,0.45
,,,,,,,,,,,Tesco Choi Sum 200G,1,IN_STORE,1.2
,,,,,,,,,,,Califia Farms Oat Barista Blend 1Ltr,2,IN_STORE,1.5
18.1,IN_STORE,1,3189,NA,17.1,00:03.3,17.1,NA,SOUTHWARK,SuperStore,Little Moons Chocolate & Hazelnut Ice Cream Mochi ...,1,IN_STORE,4.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Thorntons Pearls Hazelnut Chocolate 167G,1,IN_STORE,3.5
,,,,,,,,,,,Tesco Beef Rump Steak 255G,2,IN_STORE,3.8
61.96,IN_STORE,0.3,3189,NA,61.66,56:42.0,61.66,NA,SOUTHWARK,SuperStore,Tesco Sirloin Steak 227G,1,IN_STORE,3.8
,,,,,,,,,,,Bahlsen Baileys Choco Leibniz Biscuits 135G,1,IN_STORE,1.49
,,,,,,,,,,,Tesco Watermelon Wedges 550G,2,IN_STORE,2.5
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,1.6
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,0.95
,,,,,,,,,,,Swizzels Lolly Mix Bag 365G,2,IN_STORE,2
,,,,,,,,,,,Tesco Aubergine Each,1,IN_STORE,0.69
,,,,,,,,,,,Tesco Finest Black Forest Gateaux Shortbread 160G,1,IN_STORE,3
,,,,,,,,,,,Galaxy Salted Caramel 135G,3,IN_STORE,0.99
,,,,,,,,,,,Klc Creepy Pumpkins Solid Milk Chocolate 75G,2,IN_STORE,1
,,,,,,,,,,,Nivea For Men Dry Antiperspirant Deodorant 250Ml,2,IN_STORE,1.6
,,,,,,,,,,,Cadbury Chunk Advent Calendar 258G,1,IN_STORE,5
,,,,,,,,,,,Galaxy Caramel Chocolate Bar 135G,3,IN_STORE,0.99
,,,,,,,,,,,Cadbury Roses Tub 600G,1,IN_STORE,4
,,,,,,,,,,,Cadbury Dairy Milk Caramel Chocolate Bar 120G,3,IN_STORE,0.98
,,,,,,,,,,,Cadbury Heroes Tub 600G,1,IN_STORE,4
,,,,,,,,,,,Tesco Finest Irish Cream Florentines 105G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Organic Tenderstem Broccoli 200G,1,IN_STORE,2.5
,,,,,,,,,,,Cadbury Pop Up Advent Calendar 267G,1,IN_STORE,5
,,,,,,,,,,,Tesco Natural Sweet Sweetcorn In Water 200G,3,IN_STORE,0.45
,,,,,,,,,,,Jaffa Candy Floss Grapes 800G,1,IN_STORE,3
24.28,IN_STORE,0.79,3189,NA,23.49,39:11.1,23.49,NA,SOUTHWARK,SuperStore,Tesco Mixed Sized Organic Eggs 6 Pack,1,IN_STORE,1.8
,,,,,,,,,,,Tesco Organic Baby Potatoes 750G,1,IN_STORE,1.1
,,,,,,,,,,,Mowi 4 Smoked Scottish Salmon Slices 100G,1,IN_STORE,5
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1,IN_STORE,3
,,,,,,,,,,,Finest Echalion Shallots 400G,1,IN_STORE,1.2
,,,,,,,,,,,Twinings Rooibos & Honey 20 Teabags 36G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Bananas Loose,1,IN_STORE,0.73
,,,,,,,,,,,Tesco Aubergine Each,1,IN_STORE,0.69
,,,,,,,,,,,Tesco Lemon & Ginger 40S 80G,1,IN_STORE,1.2
,,,,,,,,,,,Tesco Carrots 1Kg,1,IN_STORE,0.4
,,,,,,,,,,,Tesco British Chicken Thighs 1Kg,1,IN_STORE,2
,,,,,,,,,,,Tesco Orange Minimum 5 Pack,1,IN_STORE,1.5
,,,,,,,,,,,Twinings Strawberry & Raspberry 40G,1,IN_STORE,1.7
,,,,,,,,,,,Twining's Cherry & Cinnamon Tea Bags 20'S 40G,1,IN_STORE,1.7
21.45,IN_STORE,2.76,3189,NA,18.45,00:09.9,18.45,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco White Seedless Grapes 400G Plus 25% Extra,1,IN_STORE,2
,,,,,,,,,,,Koko Dairy Free Unsweetened Alternative Longlife D...,1,IN_STORE,1.5
,,,,,,,,,,,Falfish Cornish Butterfly Sardine Fillets 180G,1,IN_STORE,2.4
,,,,,,,,,,,Fresh & Naked Just Wild Rocket 60G,1,IN_STORE,0.85
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
,,,,,,,,,,,Haribo Tangfastics 175G,1,IN_STORE,0.79
,,,,,,,,,,,Tesco Finest 2 Eton Mess Pots 200G,1,IN_STORE,3
,,,,,,,,,,,Tesco Finest White Sourdough Loaf 400G,1,IN_STORE,1.5
,,,,,,,,,,,Alpro Coconut No Sugars Long Life Drink 1 Litre,1,IN_STORE,1.7
,,,,,,,,,,,Tesco Universal Bag For Life,1,IN_STORE,0.2
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1,IN_STORE,0.79
