customer_id,age,gender,salary,tenure,churn
101,25.0,Male,45000,12,No
102,34.0,Female,52000,24,No
103,35.0,Male,48000,10,Yes
105,29.0,Female,47000,8,Yes
106,41.0,Male,51000,30,No
107,35.0,Female,49500,15,Yes
108,38.0,Male,53000,28,No
109,26.0,Female,46000,6,Yes
111,33.0,Female,50000,18,No
112,29.0,Male,47000,8,Yes
113,35.0,Female,49000,12,Yes
114,42.0,Male,52000,32,No
115,36.0,Female,51000,22,No
116,27.0,Male,45500,7,Yes
118,34.0,Male,50000,20,No
119,35.0,Female,48000,11,Yes
120,39.0,Male,52000,26,No
